date,speed,rpm,n_gear,throttle,brake,meeting_key,session_key
2024-05-18T10:00:00,10,2000,2,100,0,meeting_1,session_1
2024-05-18T10:00:01,30,4500,2,100,0,meeting_1,session_1
2024-05-18T10:00:02,60,8200,3,100,0,meeting_1,session_1
2024-05-18T10:00:03,90,11000,4,100,0,meeting_1,session_1
2024-05-18T10:00:04,120,13000,5,100,0,meeting_1,session_1
2024-05-18T10:00:05,150,14500,6,100,0,meeting_1,session_1
2024-05-18T10:00:06,180,15500,7,100,0,meeting_1,session_1
2024-05-18T10:00:07,210,16400,8,100,0,meeting_1,session_1
2024-05-18T10:00:08,230,17000,8,100,0,meeting_1,session_1
2024-05-18T10:00:09,245,17600,8,100,0,meeting_1,session_1
2024-05-18T10:00:10,255,18200,8,100,0,meeting_1,session_1
2024-05-18T10:00:11,268,18600,8,100,0,meeting_1,session_1
2024-05-18T10:00:12,275,19000,8,100,0,meeting_1,session_1
2024-05-18T10:00:13,280,19200,8,100,0,meeting_1,session_1
2024-05-18T10:00:14,285,19300,8,100,0,meeting_1,session_1
2024-05-18T10:00:15,290,19400,8,100,0,meeting_1,session_1
2024-05-18T10:00:16,295,19450,8,100,0,meeting_1,session_1
2024-05-18T10:00:17,300,19500,8,100,0,meeting_1,session_1
2024-05-18T10:00:18,298,19480,8,100,0,meeting_1,session_1
2024-05-18T10:00:19,293,19400,8,100,0,meeting_1,session_1
2024-05-18T10:00:20,288,19300,8,100,0,meeting_1,session_1
