date,speed,rpm,n_gear,throttle,brake,omega_e,accel,P_w,T_total,P_MGU,T_MGU,T_ICE_capped,EF_max,net_energy
2024-05-18T10:00:00,10.0,2000.0,2,100,0,209.43951023931953,5.555555555555556,13642.658436309428,68.56725874904188,350000.0,500.0,-431.4327412509581,705.0,0.0
2024-05-18T10:00:01,30.0,4500.0,2,100,0,471.238898038469,6.944444444444445,51350.36296553969,114.7040574811037,350000.0,500.0,-385.2959425188963,1380.0,9.722222222222222e-05
2024-05-18T10:00:02,60.0,8200.0,3,100,0,858.7019919812101,8.333333333333332,125771.75002061375,154.17609024723134,350000.0,407.59192743046367,-253.41583718323233,2379.0,0.00019444444444444443
2024-05-18T10:00:03,90.0,11000.0,4,100,0,1151.9173063162573,8.333333333333334,196566.66673623808,179.6242487550404,350000.0,303.8412549936184,-124.217006238578,3000.0,0.00029166666666666664
2024-05-18T10:00:04,120.0,13000.0,5,100,0,1361.356816555577,8.333333333333332,276852.43349824334,214.0685018539222,350000.0,257.0964465330617,-43.027944679139466,3000.0,0.00038888888888888887
2024-05-18T10:00:05,150.0,14500.0,6,100,0,1518.4364492350667,8.333333333333332,369792.66698875645,256.35280233929177,350000.0,230.50026240895187,25.8525399303399,3000.0,0.0004861111111111111
2024-05-18T10:00:06,180.0,15500.0,7,100,0,1623.1562043547265,8.333333333333332,478550.9838899046,310.3446707269336,350000.0,215.6292777374066,94.715392989527,3000.0,0.0005833333333333333
2024-05-18T10:00:07,210.0,16400.0,8,100,0,1717.4039839624202,6.944444444444443,536615.0749578885,328.90221457192257,350000.0,203.79596371523184,125.10625085669074,3000.0,0.0006805555555555554
2024-05-18T10:00:08,230.0,17000.0,8,100,0,1780.235837034216,4.861111111111114,512779.36000888253,303.2001357061754,350000.0,196.6031649958707,106.59697071030467,3000.0,0.0007777777777777776
2024-05-18T10:00:09,245.0,17600.0,8,100,0,1843.067690106012,3.4722222222222214,499022.34632373217,285.0067217610204,350000.0,189.9007843710115,95.1059373900089,3000.0,0.0008749999999999998
2024-05-18T10:00:10,255.0,18200.0,8,100,0,1905.899543177808,3.194444444444443,527368.144059279,291.26632836171086,350000.0,183.6403189521869,107.62600940952396,3000.0,0.000972222222222222
2024-05-18T10:00:11,268.0,18600.0,8,100,0,1947.7874452256717,2.7777777777777786,563161.1541151828,304.3459471469203,350000.0,179.69106478117217,124.65488236574814,3000.0,0.0010694444444444443
2024-05-18T10:00:12,275.0,19000.0,8,100,0,1989.6753472735356,1.6666666666666643,525289.4108710461,277.9027356031798,350000.0,175.90809499630538,101.99464060687441,3000.0,0.0011666666666666665
2024-05-18T10:00:13,280.0,19200.0,8,100,0,2010.6192982974676,1.3888888888888928,531433.5234941448,278.22457956853964,350000.0,174.07571900676052,104.14886056177912,3000.0,0.0012638888888888888
2024-05-18T10:00:14,285.0,19300.0,8,100,0,2021.0912738094337,1.3888888888888928,556646.2898249553,289.91439949628176,350000.0,173.17377227615555,116.74062722012621,3000.0,0.0013611111111111111
2024-05-18T10:00:15,290.0,19400.0,8,100,0,2031.5632493213996,1.3888888888888857,582693.8994468818,301.9162704496899,350000.0,172.28112396545373,129.63514648423615,3000.0,0.0014583333333333334
2024-05-18T10:00:16,295.0,19450.0,8,100,0,2036.7992370773825,1.3888888888888857,609590.998733454,315.0407383447583,350000.0,171.8382418987045,143.20249644605383,3000.0,0.0015555555555555557
2024-05-18T10:00:17,300.0,19500.0,8,100,0,2042.0352248333656,0.4166666666666643,567676.308132274,292.6266899284512,350000.0,171.39763102204114,121.22905890641005,3000.0,0.001652777777777778
2024-05-18T10:00:18,298.0,19480.0,8,100,0,2039.9408297309722,-0.9722222222222214,458058.2296926052,236.36301138928212,350000.0,171.5736039491685,64.78940744011362,3000.0,0.0017500000000000003
2024-05-18T10:00:19,293.0,19400.0,8,100,0,2031.5632493213996,-1.3888888888888857,404300.27054548333,209.48362414770796,350000.0,172.28112396545373,37.20250018225423,3000.0,0.0018472222222222225
2024-05-18T10:00:20,288.0,19300.0,8,100,0,2021.0912738094337,-1.3888888888888857,381062.6259241605,198.4663230217877,350000.0,173.17377227615555,25.292550745632155,3000.0,0.0019444444444444448
